Horsepower,Cost,Fuel-efficiency
0.676270,0.162701,0.733036
0.419626,0.020831,0.724077
0.597278,0.072035,0.723140
0.592849,0.066316,0.744870
0.542166,0.040905,0.720232
0.594109,0.070542,0.739166
0.600587,0.074450,0.733588
0.479295,0.033335,0.731638
0.581203,0.062253,0.729970
0.679458,0.142041,0.726924
0.392674,0.019868,0.724078
0.574396,0.060074,0.728485
0.537594,0.037456,0.715897
0.438851,0.020147,0.721639
0.554046,0.042635,0.725255
0.523156,0.030471,0.721857
0.603396,0.073902,0.723189
0.442281,0.022108,0.736159
0.668486,0.148703,0.726683
0.589926,0.065116,0.727637
0.576424,0.062253,0.721355
0.556564,0.048059,0.738005
0.531441,0.035779,0.722565
0.531697,0.036177,0.734337
0.522717,0.030846,0.735075
0.519839,0.029264,0.726980
0.579856,0.059084,0.709748
0.539260,0.037377,0.712406
0.491130,0.024200,0.711700
0.555218,0.043772,0.744185
0.604348,0.073774,0.710600
0.522991,0.031262,0.724887
0.491281,0.025400,0.719108
0.574809,0.061855,0.730995
0.615675,0.089043,0.737789
0.567999,0.050949,0.712780
0.521602,0.030823,0.733452
0.469319,0.021369,0.724546
0.616243,0.089584,0.738385
0.634771,0.100437,0.721490
0.456955,0.026595,0.733676
0.593787,0.071768,0.722967
0.348350,0.014658,0.743017
